"Town Name, State",Town Name,State,Longitude,Latitude,Coastal,Inland,Urban,Remote,Year Settled,Year Settled,Year Abandoned,Duration (years),Commodities,Mine Size,Mine Type,Mineral Distribution,Town Area (acres),Peak Population
"St. Elmo, Colorado",St. Elmo,Colorado,-106.344421,38.704411,,,,,,,,0,,,,,,
"Tarryall, Colorado",Tarryall,Colorado,-105.474602,39.121922,,,,,,,,0,,,,,,
"Tincup, Colorado",Tincup,Colorado,-106.480293,38.755081,,,,,,,,0,,,,,,
"Uravan, Colorado",Uravan,Colorado,-108.738411,38.371719,,,,,,,,0,,,,,,
"Pleasure Beach, Connecticut",Pleasure Beach,Connecticut,-72.146156,41.309872,,,,,,,,0,,,,,,
"Banning, Delaware",Banning,Delaware,-75.418610,39.145199,,,,,,,,0,,,,,,
"Glenville, Delaware",Glenville,Delaware,-75.639877,39.7122,,,,,,,,0,,,,,,
"New Market, Delaware",New Market,Delaware,-75.416573,38.80719,,,,,,,,0,,,,,,
"Owens Station, Delaware",Owens Station,Delaware,-75.490959,38.806492,,,,,,,,0,,,,,,
"Saint Johnstown, Delaware",Saint Johnstown,Delaware,-75.575012,38.804901,,,,,,,,0,,,,,,
"Zwaanendael, Delaware",Zwaanendael,Delaware,-75.163597,38.764999,,,,,,,,0,,,,,,
"Borough of Island Beach, Deserted Village or Ong's Hat",Borough of Island Beach,Deserted Village or Ong's Hat,-74.726723,40.14278,,,,,,,,0,,,,,,
"Allenhurst, Florida",Allenhurst,Florida,-80.756332,28.738331,,,,,,,,0,,,,,,
"Andytown, Florida",Andytown,Florida,-80.442902,26.150049,,,,,,,,0,,,,,,
"Aurytown, Florida",Aurytown,Florida,-81.297112,26.81596,,,,,,,,0,,,,,,
"Bareah, Florida",Bareah,Florida,-83.581589,30.117149,,,,,,,,0,,,,,,
"Basinger, Florida",Basinger,Florida,-81.032097,27.389191,,,,,,,,0,,,,,,
"Bay Harbor, Florida",Bay Harbor,Florida,-80.117783,26.15077,,,,,,,,0,,,,,,
"Bayport, Florida",Bayport,Florida,-82.641571,28.5494,,,,,,,,0,,,,,,
"Bethany, Florida",Bethany,Florida,-82.263199,27.474079,,,,,,,,0,,,,,,
"Birdon, Florida",Birdon,Florida,-81.715309,29.67585,,,,,,,,0,,,,,,
"Brewster, Florida",Brewster,Florida,-81.982307,27.792589,,,,,,,,0,,,,,,
